CumDensity,long,lat
5,103.6012167,1.2151
16,103.6580097,1.2004558
153,103.6602458,1.209483655
153,103.7317965,1.242277026
153,103.7599843,1.246848959
153,103.7458459,1.27198656
39,103.6520382,1.245022121
4,103.78145,1.1744146
70,103.7831236,1.225390035
53,103.8444592,1.210652154
53,103.8308536,1.205313445
53,103.8192816,1.206246113
53,103.8443124,1.205993964
11,103.827768,1.1950361
52,103.8660773,1.234890728
13,103.8908154,1.2251638
74,103.7816871,1.249925297
22,103.8346073,1.262482562
2,103.8428085,1.24088895
7,103.9007091,1.2465435
33,103.9149811,1.272867218
33,103.94113,1.26927516
8,103.956585,1.260779
7,104.1065086,1.294083
6,104.118346,1.315082
6,103.8896972,1.4371387